date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
2016-12-06,128,0.633906246,44,0.2634090908,172,0.5297041359
2016-12-07,58,0.6984482788,4,0.1125000017,62,0.3070370345
2016-12-08,130,0.6493846151,7,0.1657142905,137,0.5012121237
2016-12-09,28,0.7121428549,30,0.261000004,58,0.476076919
2016-12-10,3,0.7733333111,169,0.3069822475,172,0.4288191871
2016-12-11,58,0.7001724068,58,0.2403448283,116,0.4886413054
2016-12-12,90,0.698999995,56,0.2771428578,146,0.6078000002
2016-12-13,205,0.7133170706,44,0.3336363689,249,0.5535874446
2016-12-14,114,0.6994736791,1,0.4799999893,115,0.6128571374
2016-12-15,160,0.6718124952,41,0.2929268298,201,0.4451173716
2016-12-16,73,0.7091780836,74,0.3452702713,147,0.4071518981
2016-12-17,12,0.6583333164,79,0.3720253136,91,0.535907333
2016-12-18,141,0.6946808442,44,0.3334090899,185,0.4332098741
2016-12-19,114,0.677192975,62,0.3572580643,176,0.5754494429
2016-12-20,167,0.705449104,33,0.3069696982,200,0.4558333329
2016-12-21,116,0.6808620707,5,0.4799999893,121,0.672727262
2016-12-22,161,0.7442236021,40,0.2909999997,201,0.3605673752
2016-12-23,73,0.7246575413,58,0.3091379336,131,0.500714285
2016-12-24,23,0.7343478281,59,0.267118646,82,0.3605747111
2016-12-25,34,0.7411764702,67,0.3350746281,101,0.5006276155
2016-12-26,142,0.6730281643,86,0.2498837211,228,0.5837318811
2016-12-27,157,0.6650955373,66,0.3107575761,223,0.4903125014
2016-12-28,70,0.6940000006,5,0.4900000095,75,0.1125000017
2016-12-29,71,0.632957744,6,0.2466666649,77,0.628437495
2016-12-30,26,0.5646153757,77,0.3375324662,103,0.5849655231
2016-12-31,1,0.6200000048,74,0.2167567559,75,0.4478787856
2017-01-01,85,0.6988235326,36,0.3541666689,121,0.4693965535
2017-01-02,275,0.6445454587,32,0.2899999965,307,0.5373118279
2017-01-03,265,0.722075477,39,0.255128205,304,0.4808333357
2017-01-04,345,0.7094202905,35,0.3371428549,380,0.6999999806
2017-01-05,350,0.7722857143,155,0.3400000007,505,0.5315151476
2017-01-06,650,0.6338461527,115,0.3260869594,765,0.5393902416
2017-01-07,80,0.6781250052,165,0.2948484831,245,0.6183802791
2017-01-08,125,0.7395999932,110,0.3504545438,235,0.5975316416
2017-01-09,430,0.7144186032,410,0.4018292678,840,0.5839639605
2017-01-10,170,0.6861764683,20,0.307500001,190,0.5839622655
2017-01-11,285,0.7019298233,20,0.2774999999,305,0.6058823379
2017-01-12,275,0.6319999987,245,0.3167346942,520,0.6054696079
2017-01-13,90,0.6516666611,145,0.3237931008,235,0.5530813913
2017-01-14,5,0.6899999976,290,0.3053448274,295,0.5910177012
2017-01-15,90,0.676111102,315,0.3352380983,405,0.5542622966
2017-01-16,160,0.6915624999,225,0.2064444454,385,0.572105263
2017-01-17,90,0.6277777784,35,0.2128571458,125,0.5281295002
2017-01-18,280,0.629821425,70,0.3207142864,350,0.690714289
2017-01-19,215,0.6353488343,410,0.2201219521,625,0.6669999994
2017-01-20,50,0.6389999986,320,0.28921875,370,0.5550684897
2017-01-21,35,0.6128571459,345,0.3088405809,380,0.5214718584
2017-01-22,80,0.6487500034,270,0.3177777773,350,0.5785849068
2017-01-23,95,0.6526315777,80,0.1849999991,175,0.5264077642
2017-01-24,635,0.6191338587,35,0.2128571432,670,0.3789230734
2017-01-25,395,0.6527848093,80,0.2443749998,475,0.6200000048
2017-01-26,330,0.6409090902,390,0.2174358971,720,0.593333335
2017-01-27,35,0.6042857085,870,0.2812068958,905,0.5347674447
2017-01-28,5,0.6700000167,700,0.2457142854,705,0.6022368466
2017-01-29,55,0.5900000009,360,0.2706944451,415,0.5752941175
2017-01-30,35,0.6399999942,45,0.2477777778,80,0.6714130431
2017-01-31,50,0.6839999974,15,0.2966666669,65,0.5441037727
2017-02-01,210,0.6480952345,15,0.3400000085,225,0.6040000044
2017-02-02,110,0.6840909069,45,0.2488888885,155,0.6758620631
2017-02-03,70,0.6585714306,165,0.3121212132,235,0.5700740733
2017-02-04,5,0.6600000262,260,0.2871153844,265,0.519365077
2017-02-05,60,0.650000001,180,0.3163888892,240,0.5019130428
2017-02-06,170,0.6261764677,145,0.3006896554,315,0.4735593231
2017-02-07,155,0.6370967742,25,0.303999994,180,0.3336507928
2017-02-08,140,0.6510714229,90,0.3072222219,230,0.2725000023
2017-02-09,200,0.6747499987,365,0.2176712339,565,0.5206249952
2017-02-10,75,0.6520000021,275,0.2363636383,350,0.3524561409
2017-02-11,15,0.6099999944,125,0.2184000018,140,0.3635365856
2017-02-12,25,0.6800000072,125,0.3007999992,150,0.452639999
2017-02-13,265,0.6043396187,205,0.2148780511,470,0.4585566995
2017-02-14,115,0.61956522,35,0.1985714284,150,0.3596153835
2017-02-15,175,0.7068571465,100,0.3785,275,0.4128571445
2017-02-16,180,0.56694444,375,0.3070666668,555,0.4465625016
2017-02-17,135,0.6099999944,310,0.3019354833,445,0.3026804119
2017-02-18,85,0.604705877,180,0.2358333322,265,0.4237873751
2017-02-19,175,0.5897142836,290,0.3262068952,465,0.3925570771
2017-02-20,155,0.6258064528,505,0.2484158416,660,0.4477536232
2017-02-21,160,0.6521874964,95,0.3268421033,255,0.4037499975
2017-02-22,250,0.622799996,100,0.2375000011,350,0.3900000043
2017-02-23,305,0.6711475351,255,0.3105882339,560,0.5364285739
2017-02-24,150,0.6189999998,280,0.255714286,430,0.4199999972
2017-02-25,30,0.5866666635,200,0.2664999994,230,0.3986046513
2017-02-26,265,0.6669811325,155,0.2880645166,420,0.4484042536
2017-02-27,350,0.6332857123,230,0.229565217,580,0.4558620683
2017-02-28,235,0.640851063,25,0.3180000037,260,0.4172093031
2017-03-01,110,0.695909091,85,0.3429411755,195,0.3633333327
2017-03-02,225,0.6146666606,155,0.2770967733,380,0.4443333335
